N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI)
10,2000,2000,0.26876288609064003,0.10796518262940742,0.2707033516955115,0.09171223687289294,0.21530987620353698,0.12583693007058225
20,2000,2000,0.12069321840627553,0.03625300332536942,0.08113564545925536,0.07058345640304163,0.06806467175483703,0.06671456214477943
30,2000,2000,0.05244327040315264,0.012183976472429445,0.050814695025500956,0.020615989435515188,0.03283318281173706,0.01614093676261633
40,2000,2000,0.06611548607135016,0.030507846564028957,0.05593056728331425,0.042920418476042166,0.04298849105834961,0.04008349344115855
50,2000,2000,0.03637945731690086,0.018362563877422317,0.0466876253265369,0.030647291659298317,0.029936712980270386,0.027477123760917647
60,2000,2000,0.058141441124588855,0.008627760233737737,0.08669201879145241,0.05613452015910977,0.036067479848861696,0.026427758301567874
70,2000,2000,0.024658245969502973,0.008483466266906887,0.0400577011416302,0.028048402336859377,0.016055357456207276,0.015246456650003449
80,2000,2000,0.024859757304849996,0.00856813233431389,0.02114039098346685,0.01569234895132913,0.007586348056793213,0.014553786719834701
90,2000,2000,0.02342132727571906,0.005817375276123594,0.01881061684486401,0.020573975285039396,0.009874022006988526,0.020859583961068916
100,2000,2000,0.020144876818741227,0.004214109000367226,0.016596361980902835,0.017327040518971017,0.002241593599319458,0.01430955969781623
110,2000,2000,0.018190533629742822,0.006563245308370012,0.019438054376000526,0.019506120031975126,0.004230475425720215,0.013932291435497693
120,2000,2000,0.022016582060299487,0.008092693736281508,0.034032743579526674,0.03106163738378217,-0.0032841801643371583,0.004965173854713522
130,2000,2000,0.01573510939947503,0.004813513574889148,0.01594036883891673,0.016707828365022912,0.0021464169025421143,0.0053680087750181725
140,2000,2000,0.013068735846028277,0.0030829919594272757,0.013052401289311566,0.009018053950620959,-0.003721088171005249,0.004738573272664646
150,2000,2000,0.014448772319456845,0.004556652767728073,0.015505216887323129,0.008220421891525956,0.002953338623046875,0.011528591722945073
