N,M,L,Analytical KL,Ground Truth MC KL,Ground Truth MC KL (CI),MC KL,MC KL (CI),Disc KL,Disc KL (CI)
10,2000,2000,-,2.2595488912446617,1.1855682243336096,2.243132922005729,1.2044746028931965,2.2460452795028685,2.0530800889258587
20,2000,2000,-,0.5533100787391029,0.23345680269904975,0.5438375990869113,0.23102165799430074,0.3711191266775131,0.16385547390440006
30,2000,2000,-,0.22719341851260308,0.0698317106582746,0.22961922716074074,0.05732765258476552,0.13407858461141586,0.040647570461313426
40,2000,2000,-,0.3710024439031338,0.3030664402518973,0.3607508765466723,0.27419280466136914,0.20400837510824205,0.12840139246286694
50,2000,2000,-,0.11430929639062604,0.05589002593285336,0.12102277271058977,0.061471106577628186,0.06609382461756468,0.06340827105437548
60,2000,2000,-,0.19748824509931034,0.031511411246925754,0.2049592776785334,0.03623649416025838,0.08874783933861181,0.05386313819463214
70,2000,2000,-,0.07493645403785479,0.028974295923222235,0.07604967915427303,0.02749003789258093,0.03388782753609121,0.04895312207333622
80,2000,2000,-,0.08590573590109736,0.033745765981660784,0.09387718219307328,0.042036176366960255,0.050026847422122954,0.04123745288546848
90,2000,2000,-,0.07211758259530225,0.02556111375218439,0.07361290748452676,0.027505910780771865,0.02563091404736042,0.04782458998526775
100,2000,2000,-,0.06847094927621461,0.022072479216388906,0.06422906706102069,0.018420532659216747,0.04902314636856318,0.021112477039053244
110,2000,2000,-,0.059070513181495296,0.021397145229648303,0.05933165073672695,0.018591051046673336,0.04549661464989185,0.04219755914232502
120,2000,2000,-,0.06795674338075,0.02791677899845417,0.06754282049345034,0.03137137849908827,0.037351955473423,0.019546010603729527
130,2000,2000,-,0.04942902836483106,0.017498105631834824,0.04894993602045055,0.02100860250480575,0.03646559678018093,0.011303181778238679
140,2000,2000,-,0.04262988638737693,0.008763438753226273,0.03913710754491601,0.009759111744866558,0.03601693014934426,0.02326029096324421
150,2000,2000,-,0.047238627346788145,0.01444163143772331,0.044635822353743096,0.012080982653193906,0.02227212181314826,0.012841143863045369
